sample_num,sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
32,61G_MF_5,112723,157357,170657,144125,107697,71640,43509,25704,15025,8589,5375,3512,2474,1851,1440,1108,1026,840,745,586,480,427,362,346,303,238,245,251,213,202,201,160,167,137,121,120,108,101,82,91,76,66,73,61,59,51,49,46,63,53,58,47,56,48,35,38,44,30,41,39,24,31,26,36,28,25,22,21,28,25,30,25,25,34,21,21,32,16,23,17,14,24,21,18,18,23,26,30,22,29,12,24,26,20,20,23,14,22,21,19,2365
33,61G_MF_8,79169,112187,143818,143352,123349,93995,65445,41960,26220,15813,9836,5946,3967,2811,1949,1544,1149,971,814,655,635,565,496,455,386,331,309,266,260,215,188,163,159,133,141,133,89,109,99,115,88,81,64,64,72,54,57,59,51,59,44,44,35,32,41,20,27,33,32,38,29,32,29,32,28,29,23,26,23,19,26,24,30,27,21,18,16,18,17,27,15,22,21,19,23,27,15,22,19,22,25,15,15,11,19,18,16,21,20,12,2609
34,63C_MF_10,532803,179465,102121,32681,14642,5719,3241,1643,1178,730,577,404,416,302,291,234,237,211,231,223,189,177,216,183,183,172,187,174,168,149,146,146,173,152,152,143,135,131,134,141,119,130,139,112,133,122,134,117,117,121,95,104,89,89,107,75,82,75,78,79,85,72,58,60,62,52,62,48,39,41,31,38,36,31,24,24,24,21,27,32,22,19,17,14,12,16,19,12,19,11,13,15,13,8,9,10,13,24,8,16,798
35,63C_MF_11,692686,102897,53034,12205,6406,3009,2041,1229,959,631,508,388,348,294,265,215,200,208,214,217,166,163,156,139,137,116,125,132,113,130,128,108,121,145,122,111,106,111,97,108,110,90,103,102,95,93,73,94,97,97,83,98,86,94,85,88,72,92,80,70,68,74,78,68,63,63,76,73,61,55,61,56,44,45,37,54,50,58,56,49,57,38,47,34,44,22,38,29,29,24,21,31,24,32,25,16,18,20,22,16,606
36,63C_MF_12,56109,91482,128802,139422,128346,104776,77332,52720,33965,21120,12956,8135,5337,3547,2543,1856,1522,1257,1017,876,705,603,541,443,424,405,331,294,276,268,255,190,184,211,187,164,155,137,138,129,116,112,104,102,85,94,73,86,54,60,49,57,40,42,50,40,37,36,31,33,49,32,39,34,29,33,30,18,26,27,36,21,27,37,36,28,36,26,33,32,24,23,17,23,20,26,13,21,36,13,14,21,24,18,16,12,13,11,15,21,3201
37,63C_MF_16,22211,50963,82644,104947,115094,111864,98088,79599,60712,43709,30613,20738,13771,9325,6217,4489,3265,2550,2103,1805,1551,1267,1086,1027,825,738,723,618,556,561,479,399,359,379,340,278,271,223,254,252,217,197,198,166,159,145,137,150,130,133,121,139,133,121,141,109,109,92,112,94,76,91,78,79,72,60,63,58,61,60,51,52,54,51,35,38,41,48,36,33,42,35,28,30,42,36,34,36,32,20,33,14,24,29,22,28,31,30,22,27,3244
38,63C_MF_18,56073,96144,132744,141134,128526,102830,75920,50797,32622,20034,12415,7609,4894,3434,2468,1801,1445,1222,1026,817,699,561,558,438,403,351,324,337,288,260,218,187,210,201,173,152,150,145,113,121,111,110,95,78,79,65,75,55,58,60,57,46,41,37,52,36,41,31,34,31,27,30,27,37,31,25,23,35,24,22,13,24,32,30,29,27,25,25,30,23,26,26,21,28,24,23,24,28,18,19,18,14,15,16,15,17,16,16,20,28,2685
39,63C_MF_6,817203,16730,22046,4547,5108,2883,2786,1634,1488,964,844,620,509,383,328,238,230,181,187,153,157,122,109,106,101,73,69,66,86,75,69,80,79,67,68,62,73,64,60,53,49,53,45,38,45,48,69,47,61,45,47,47,38,35,37,30,32,42,37,42,35,45,49,35,33,34,34,53,38,35,38,34,45,37,53,25,35,36,38,45,36,45,37,39,47,34,51,37,44,32,37,30,39,34,32,33,27,27,30,24,1592
40,63C_MF_7,818251,17792,21783,4787,4973,2667,2382,1453,1271,805,717,486,464,295,275,213,231,165,199,127,142,102,107,80,104,93,79,71,71,70,75,72,82,71,47,62,56,75,62,51,68,44,52,58,52,52,57,66,50,48,70,41,43,47,49,45,46,42,52,38,57,62,39,44,51,45,42,38,44,18,41,28,44,43,37,37,35,56,29,46,25,46,37,33,21,48,35,35,32,30,39,28,33,33,31,25,24,34,26,35,1258
41,63C_MF_8,802678,26624,25981,5400,5296,2966,2636,1614,1433,948,841,561,455,365,302,237,207,157,174,143,152,116,109,91,97,85,89,73,86,72,89,79,76,88,68,61,67,51,50,60,61,63,64,44,48,41,46,45,49,65,48,41,47,49,48,45,49,47,35,43,50,43,46,31,40,48,38,39,37,43,38,38,28,41,44,44,40,24,47,56,44,39,37,33,36,41,30,37,39,33,34,31,32,33,37,31,49,37,29,34,1486
42,63C_MF_9,637745,134397,68489,17304,8046,3464,2265,1240,947,626,556,338,390,268,267,205,227,191,219,165,175,146,142,123,123,99,142,150,156,159,150,118,135,108,138,131,137,112,116,125,117,116,118,131,106,97,126,115,100,95,95,97,102,74,88,107,88,101,91,77,80,71,80,72,69,69,87,77,65,63,72,61,61,44,39,49,43,37,38,40,31,28,40,25,47,35,27,29,23,35,18,25,24,21,21,17,23,17,10,19,865
43,II_AF_S3,36921,44860,70344,88736,100602,101545,95123,82567,66901,52111,38327,27320,19174,13415,8961,6283,4490,3269,2493,2000,1664,1421,1125,979,798,788,663,606,506,516,467,423,396,359,330,324,231,243,228,257,219,207,188,174,174,169,138,143,125,127,114,138,125,119,112,113,114,121,88,81,88,73,70,71,64,53,42,67,55,61,50,40,45,46,38,43,36,41,32,42,37,32,38,43,37,35,33,38,35,30,30,26,29,33,23,26,27,22,19,22,2445
44,III_AF_S2,39938,67710,96819,110618,113565,104418,87703,69670,52625,37766,26285,18056,12107,8499,5943,4455,3453,2621,2188,1867,1591,1302,1158,987,835,757,640,592,495,487,425,377,343,304,297,252,240,224,218,235,209,152,157,154,161,132,116,133,105,128,106,112,102,91,106,101,79,71,80,61,77,66,65,57,66,48,59,35,54,48,45,54,44,43,41,47,44,27,40,42,30,41,39,36,31,35,37,23,33,27,27,27,18,28,26,23,22,27,25,21,2673
45,III_MF_10,78047,109918,141164,135105,117162,90887,65964,45221,29945,19055,12147,7865,5190,3643,2654,2200,1638,1370,1096,924,838,710,627,578,538,452,446,410,370,318,292,271,227,199,184,185,164,145,154,126,127,125,107,98,100,83,100,90,66,81,70,92,81,59,77,72,74,47,59,61,57,44,47,39,39,54,52,51,39,49,47,37,31,43,34,35,29,38,36,29,28,29,28,26,17,30,25,29,33,20,18,16,18,18,19,23,18,24,21,24,3280
46,III_MF_5,62734,90988,123925,125122,117689,98259,76100,55145,38753,25813,17250,11370,7549,5230,3704,2904,2248,1828,1480,1224,991,934,793,664,590,541,485,435,425,336,337,303,328,282,259,245,195,207,162,180,160,158,154,146,115,117,98,94,102,107,86,83,60,72,76,90,63,81,60,64,71,53,63,60,54,43,40,52,45,59,36,56,44,42,38,35,37,49,44,41,34,28,35,33,27,33,31,38,26,22,25,23,19,27,19,15,16,19,17,19,3211
47,III_MF_7,51392,79920,115373,130606,126829,107544,83512,60191,40779,26458,16747,10552,6788,4446,3099,2207,1767,1398,1182,965,839,775,680,600,567,486,433,414,344,310,284,270,206,226,214,197,180,211,172,155,136,152,130,130,119,98,107,89,88,68,68,80,72,70,61,58,53,56,48,43,51,46,39,54,39,42,38,46,46,26,35,52,37,29,32,30,29,21,27,24,26,37,37,26,39,25,34,33,19,22,23,22,15,23,17,17,29,29,17,18,2377
48,III_MF_8,68070,88327,121691,123775,118010,97144,75771,55707,38867,26716,17733,11758,7877,5425,3931,2905,2079,1693,1364,1162,1013,827,779,679,579,543,482,477,386,349,332,329,285,248,251,229,207,221,158,164,153,139,161,125,131,110,112,110,103,98,109,99,94,90,86,74,47,45,39,56,54,43,52,35,39,46,34,53,38,38,31,20,29,22,28,35,33,30,26,10,28,32,20,27,15,23,19,22,15,30,22,20,18,15,14,15,17,19,14,14,3053
49,III_MF_9,71577,102190,136037,137026,122337,97424,71100,47685,31018,19772,12146,7665,5004,3456,2431,1787,1434,1140,980,890,762,651,580,495,443,407,352,321,299,276,256,223,227,178,175,143,133,128,125,103,116,110,106,110,80,91,78,64,86,71,56,68,71,65,58,51,49,51,38,36,35,41,35,25,36,39,33,39,28,21,33,34,34,25,36,26,31,27,27,24,23,30,21,29,17,25,20,18,17,24,17,19,16,18,13,16,11,15,15,15,2833
50,II_MF_4,828299,7738,31943,1918,4239,907,1277,550,696,431,382,282,303,198,215,176,184,136,131,132,101,74,94,76,80,73,54,63,51,46,59,45,51,31,37,34,35,50,45,44,37,39,43,39,29,28,34,39,27,40,25,39,33,28,32,14,26,28,26,27,23,25,25,20,20,20,19,22,22,20,21,19,12,25,21,22,23,27,21,17,22,17,23,20,15,18,19,13,24,22,15,17,17,16,16,12,25,16,18,18,1972
